# frame_idx  time_s  arc_m
244 1.257732 0.49758269
245 1.262887 0.49718492
246 1.268041 0.49687001
247 1.273196 0.49666592
248 1.278351 0.49669670
249 1.283505 0.49612824
250 1.288660 0.49640027
251 1.293814 0.49609150
252 1.298969 0.49681948
253 1.304124 0.49711467
254 1.309278 0.49727217
255 1.314433 0.49812078
256 1.319588 0.49809806
257 1.324742 0.49822686
258 1.329897 0.49831226
259 1.335052 0.50187488
260 1.340206 0.50279856
261 1.345361 0.50372929
262 1.350515 0.50390143
263 1.355670 0.50423720
264 1.360825 0.50428250
265 1.365979 0.50423735
266 1.371134 0.50355981
267 1.376289 0.50388099
268 1.381443 0.50367010
269 1.386598 0.50505000
270 1.391753 0.50496220
271 1.396907 0.50521122
272 1.402062 0.50533869
273 1.407216 0.50488056
274 1.412371 0.50455575
275 1.417526 0.50280274
276 1.422680 0.50338304
277 1.427835 0.50350173
278 1.432990 0.50335496
279 1.438144 0.50302587
280 1.443299 0.50392300
281 1.448454 0.50372604
282 1.453608 0.50297052
283 1.458763 0.50239075
284 1.463918 0.50046563
285 1.469072 0.49914112
286 1.474227 0.49845805
287 1.479381 0.49765151
288 1.484536 0.49697590
289 1.489691 0.49726619
290 1.494845 0.49776058
291 1.500000 0.49784229
292 1.505155 0.49859674
293 1.510309 0.49974287
294 1.515464 0.50063794
295 1.520619 0.50188228
296 1.525773 0.50296024
297 1.530928 0.50444327
298 1.536082 0.50549324
299 1.541237 0.50441944
300 1.546392 0.50269135
301 1.551546 0.50264919
302 1.556701 0.50311119
303 1.561856 0.50331602
304 1.567010 0.50282772
305 1.572165 0.50333243
306 1.577320 0.50268618
307 1.582474 0.50271912
308 1.587629 0.50252946
309 1.592784 0.50266762
310 1.597938 0.50207918
311 1.603093 0.50184253
312 1.608247 0.50145592
313 1.613402 0.50123611
314 1.618557 0.50068373
315 1.623711 0.50071505
316 1.628866 0.49890476
317 1.634021 0.49958418
318 1.639175 0.49988393
319 1.644330 0.50003663
320 1.649485 0.49930337
321 1.654639 0.50042322
322 1.659794 0.50086707
323 1.664948 0.50069951
324 1.670103 0.50066916
325 1.675258 0.50093954
326 1.680412 0.50075482
327 1.685567 0.49962821
328 1.690722 0.50001078
329 1.695876 0.49945370
330 1.701031 0.49822829
331 1.706186 0.49782579
332 1.711340 0.49746693
333 1.716495 0.49764275
334 1.721649 0.49765516
335 1.726804 0.49829680
336 1.731959 0.49846267
337 1.737113 0.49840840
338 1.742268 0.49850421
339 1.747423 0.49498363
340 1.752577 0.49480781
341 1.757732 0.49376729
342 1.762887 0.49359491
343 1.768041 0.49316859
344 1.773196 0.49287660
345 1.778351 0.49315583
346 1.783505 0.49299802
347 1.788660 0.49393672
348 1.793814 0.49329524
349 1.798969 0.49345731
350 1.804124 0.49343634
351 1.809278 0.49330972
352 1.814433 0.49289413
353 1.819588 0.49346178
354 1.824742 0.49285613
355 1.829897 0.49332444
356 1.835052 0.49339193
357 1.840206 0.49318791
358 1.845361 0.49399125
359 1.850515 0.49347150
360 1.855670 0.49358606
361 1.860825 0.49424575
362 1.865979 0.49372106
363 1.871134 0.49382500
364 1.876289 0.49351584
365 1.881443 0.49463146
366 1.886598 0.49265085
367 1.891753 0.49266920
368 1.896907 0.49254261
369 1.902062 0.49283784
370 1.907216 0.49299153
371 1.912371 0.49288228
372 1.917526 0.49264906
373 1.922680 0.49309749
374 1.927835 0.49279988
375 1.932990 0.49255557
376 1.938144 0.49230271
377 1.943299 0.49265921
378 1.948454 0.49206837
379 1.953608 0.49273768
380 1.958763 0.49278992
381 1.963918 0.49262000
382 1.969072 0.49272145
383 1.974227 0.49252576
384 1.979381 0.49332867
385 1.984536 0.49336461
386 1.989691 0.49250047
387 1.994845 0.49454644
388 2.000000 0.49476866
389 2.005155 0.49534480
390 2.010309 0.49483964
391 2.015464 0.49497035
392 2.020619 0.49393018
393 2.025773 0.49371347
394 2.030928 0.49505934
395 2.036082 0.49569223
396 2.041237 0.49653069
397 2.046392 0.49673243
398 2.051546 0.49683120
399 2.056701 0.49705512
400 2.061856 0.49764893
401 2.067010 0.49805693
402 2.072165 0.49908996
403 2.077320 0.49944364
404 2.082474 0.50002075
405 2.087629 0.50072070
406 2.092784 0.50078183
407 2.097938 0.50127690
408 2.103093 0.50112550
409 2.108247 0.50109396
410 2.113402 0.50142989
411 2.118557 0.50200174
412 2.123711 0.50286274
413 2.128866 0.50263875
414 2.134021 0.50306965
415 2.139175 0.50302330
416 2.144330 0.50271282
417 2.149485 0.50300220
418 2.154639 0.50327784
419 2.159794 0.50342360
420 2.164948 0.50294839
421 2.170103 0.50358159
422 2.175258 0.50370097
423 2.180412 0.50330585
424 2.185567 0.50320747
425 2.190722 0.50270839
426 2.195876 0.50294270
427 2.201031 0.50332778
428 2.206186 0.50338141
429 2.211340 0.50348364
430 2.216495 0.50362467
431 2.221649 0.50366552
432 2.226804 0.50323309
433 2.231959 0.50283476
434 2.237113 0.50236573
435 2.242268 0.50246967
436 2.247423 0.50186280
437 2.252577 0.50148398
438 2.257732 0.50073497
439 2.262887 0.50066610
440 2.268041 0.50097017
441 2.273196 0.50099674
442 2.278351 0.50137931
443 2.283505 0.50121445
444 2.288660 0.50243808
445 2.293814 0.50190299
446 2.298969 0.50222819
447 2.304124 0.50209320
448 2.309278 0.50207897
449 2.314433 0.50186301
450 2.319588 0.50177115
451 2.324742 0.50191324
452 2.329897 0.50129009
453 2.335052 0.50102497
454 2.340206 0.50056722
455 2.345361 0.50171743
456 2.350515 0.49990532
457 2.355670 0.50163731
458 2.360825 0.50196452
459 2.365979 0.50240616
460 2.371134 0.50264390
461 2.376289 0.50250858
462 2.381443 0.50276440
463 2.386598 0.50262480
464 2.391753 0.50247161
465 2.396907 0.50255953
466 2.402062 0.50213574
467 2.407216 0.50217970
468 2.412371 0.50192101
469 2.417526 0.50154336
470 2.422680 0.50198000
471 2.427835 0.50242976
472 2.432990 0.50268909
473 2.438144 0.50277883
474 2.443299 0.49682948
475 2.448454 0.49665587
476 2.453608 0.49635181
477 2.458763 0.49689824
478 2.463918 0.49786362
479 2.469072 0.49764313
480 2.474227 0.49803576
481 2.479381 0.49825616
482 2.484536 0.49695262
483 2.489691 0.49755015
484 2.494845 0.49770223
485 2.500000 0.49827554
486 2.505155 0.49899892
487 2.510309 0.49868416
488 2.515464 0.49841140
489 2.520619 0.50193844
490 2.525773 0.50216665
491 2.530928 0.50254995
492 2.536082 0.50249263
493 2.541237 0.50250067
494 2.546392 0.50244409
495 2.551546 0.50289589
496 2.556701 0.50287200
497 2.561856 0.50283591
498 2.567010 0.50269355
499 2.572165 0.50341522
500 2.577320 0.50329308
501 2.582474 0.50314755
502 2.587629 0.50366578
503 2.592784 0.50335646
504 2.597938 0.50346653
505 2.603093 0.50320635
506 2.608247 0.50312310
507 2.613402 0.50347793
508 2.618557 0.50355972
509 2.623711 0.50343440
510 2.628866 0.50400414
511 2.634021 0.50365164
512 2.639175 0.50482392
513 2.644330 0.50482976
514 2.649485 0.50477931
515 2.654639 0.50546298
516 2.659794 0.50557928
517 2.664948 0.50580988
518 2.670103 0.50552841
519 2.675258 0.50501801
520 2.680412 0.50471810
521 2.685567 0.50481441
522 2.690722 0.50514277
523 2.695876 0.50538548
524 2.701031 0.50538893
525 2.706186 0.50535926
526 2.711340 0.50535929
527 2.716495 0.50407923
528 2.721649 0.50427532
529 2.726804 0.50398100
530 2.731959 0.50322521
531 2.737113 0.50236102
532 2.742268 0.50229991
533 2.747423 0.50157812
534 2.752577 0.50185201
535 2.757732 0.50235857
536 2.762887 0.50267384
537 2.768041 0.50273181
538 2.773196 0.50180388
539 2.778351 0.50118072
540 2.783505 0.50112156
541 2.788660 0.50137593
542 2.793814 0.50182446
543 2.798969 0.50142423
544 2.804124 0.50061355
545 2.809278 0.50073127
546 2.814433 0.50004913
547 2.819588 0.49994088
548 2.824742 0.49961843
549 2.829897 0.49956731
550 2.835052 0.49853308
551 2.840206 0.49830858
552 2.845361 0.49719544
553 2.850515 0.49698580
554 2.855670 0.49664851
555 2.860825 0.49762938
556 2.865979 0.49743538
557 2.871134 0.49673334
558 2.876289 0.49693439
559 2.881443 0.49653165
560 2.886598 0.49633091
561 2.891753 0.49584936
562 2.896907 0.49529606
563 2.902062 0.49536080
564 2.907216 0.49491636
565 2.912371 0.49460973
566 2.917526 0.49467887
